IDADE,RENDA_ANUAL,MORADIA,TEMPO_DE_SERVICO,MOTIVO_EMPRESTIMO,SCORE_CREDITO,VALOR_EMPRESTIMO,TAXA_DE_JUROS,SITUACAO_INADIMPLENCIA,COMPROMETIMENTO_DA_RENDA,HISTORICO_DE_INADIMPLENCIA,HISTORICO_DE_CREDITO,CADASTRO_COMPLETO,OBSERVACOES
21,60000,alugada,2,educacao,B,8000,11.26,0,0.13,n,3,sim,
40,70000,hipoteca,6,educacao,A,18000,7.9,0,0.26,n,14,sim,
29,115000,hipoteca,3,saude,C,22000,15.23,0,0.19,s,7,sim,
26,84996,alugada,0,saude,B,9000,11.26,0,0.11,n,2,sim,
23,54500,alugada,2,quitacao_debitos,A,8000,NULL,0,0.15,n,2,não,
40,44000,alugada,0,uso_pessoal,A,6000,NULL,1,0.14,n,12,não,
23,24000,propria,7,educacao,A,5000,7.49,0,0.21,n,2,sim,
27,56253,alugada,11,empreendimento,B,10000,11.36,0,0.18,n,8,sim,
32,19200,alugada,0,empreendimento,B,5000,9.99,1,0.26,n,6,sim,
24,18000,propria,0,reforma,A,6250,6.54,1,0.35,n,4,sim,
NULL,45000,propria,8,saude,B,NULL,6.03,0,0.16,n,4,não,
24,54400,hipoteca,8,quitacao_debitos,C,12000,NULL,0,0.22,s,4,não,
23,80000,alugada,6,empreendimento,A,6500,7.51,0,0.08,n,3,sim,
24,145000,hipoteca,0,uso_pessoal,B,7000,10.99,0,0.05,n,2,sim,
30,36000,alugada,6,quitacao_debitos,C,4500,13.49,0,0.13,s,6,sim,
22,40000,alugada,6,educacao,D,7200,17.58,0,0.18,s,2,sim,
24,103000,hipoteca,8,uso_pessoal,B,8000,10.74,0,0.08,n,3,sim,
35,50000,hipoteca,5,reforma,C,6000,13.49,0,0.12,n,6,sim,
22,32000,alugada,1,educacao,D,5400,16.29,1,0.17,s,2,sim,
29,24000,hipoteca,7,saude,A,10000,NULL,0,0.42,n,6,não,
29,175000,hipoteca,2,reforma,A,10000,NULL,0,0.06,n,9,não,
25,12996,propria,1,saude,D,3600,14.59,1,0.28,n,3,sim,
32,48000,alugada,3,quitacao_debitos,C,9000,13.99,0,0.19,n,8,sim,
30,57000,hipoteca,6,uso_pessoal,A,4000,8,0,0.07,n,7,sim,
42,85000,alugada,3,empreendimento,C,5750,12.99,0,0.07,s,15,sim,
29,120000,hipoteca,3,educacao,B,20000,11.71,0,0.17,n,5,sim,
24,25000,hipoteca,3,empreendimento,A,9000,7.14,0,0.36,n,4,sim,
34,120000,alugada,NULL,quitacao_debitos,A,2000,NULL,NULL,0.04,n,3,não,"Cálculo do comprometimento da renda diferente do apontado; "
24,28500,alugada,3,quitacao_debitos,B,2500,11.36,0,0.09,n,4,sim,
22,80000,hipoteca,5,empreendimento,B,9500,11.71,0,0.12,n,3,sim,
31,30000,alugada,0,educacao,D,6600,16.49,1,0.22,s,8,sim,
21,30000,alugada,2,saude,A,4150,6.76,0,0.14,n,3,sim,
31,48996,hipoteca,0,reforma,D,8500,14.11,1,0.17,s,9,sim,
26,58000,alugada,10,educacao,C,9600,13.99,0,0.17,s,4,sim,
25,191000,hipoteca,1,saude,B,10000,12.53,0,0.05,n,4,sim,
26,35000,alugada,10,educacao,B,12875,NULL,1,0.37,n,3,não,
31,135000,hipoteca,9,empreendimento,A,10000,7.14,0,0.07,n,6,sim,
24,64000,hipoteca,8,educacao,A,5000,7.88,1,0.08,n,4,sim,
28,150000,hipoteca,12,educacao,C,10000,NULL,0,0.07,s,6,não,
25,110000,hipoteca,7,educacao,A,8000,7.14,0,0.07,n,4,sim,
28,95000,hipoteca,5,empreendimento,A,1800,NULL,0,0.07,,4,não,"Cálculo do comprometimento da renda diferente do apontado; "
39,60000,hipoteca,1,educacao,C,17000,14.65,0,0.28,s,14,sim,
21,NULL,alugada,1,,A,25000,16.07,0,0.19,s,3,não,
28,48000,alugada,5,quitacao_debitos,B,15000,11.99,1,0.31,n,10,sim,
36,31000,alugada,3,empreendimento,A,7100,8.9,0,0.23,n,12,sim,
22,96000,hipoteca,3,educacao,C,11400,13.04,0,0.12,s,2,sim,
21,40000,alugada,3,educacao,D,7000,14.46,0,0.17,n,3,sim,"Cálculo do comprometimento da renda diferente do apontado; "
25,56950,alugada,9,saude,C,5000,13.92,1,0.07,n,4,sim,"Cálculo do comprometimento da renda diferente do apontado; "
21,41900,alugada,2,empreendimento,C,16000,12.84,1,0.38,s,2,sim,
29,101000,propria,6,reforma,B,12000,12.18,0,0.12,n,8,sim,
23,42000,alugada,4,uso_pessoal,A,10000,5.42,0,0.24,n,3,sim,
31,215000,hipoteca,2,saude,B,15000,10.99,0,0.07,n,10,sim,
26,65000,hipoteca,11,empreendimento,A,12000,7.9,0,0.18,n,2,sim,
24,111239,hipoteca,1,educacao,A,14000,7.9,0,0.13,n,4,sim,
24,60000,alugada,2,quitacao_debitos,E,25000,NULL,1,0.42,s,2,não,
30,43000,alugada,1,saude,A,3200,8,0,0.07,n,5,sim,
21,68004,hipoteca,5,quitacao_debitos,B,16000,11.26,0,0.24,n,3,sim,
25,25000,alugada,5,saude,B,9000,11.49,1,0.36,n,2,sim,
36,40000,propria,4,empreendimento,B,14000,10.99,0,0.35,n,16,sim,
24,55000,hipoteca,8,saude,B,15000,9.91,0,0.27,n,3,sim,
21,52000,hipoteca,5,quitacao_debitos,A,13250,5.99,0,0.25,n,2,sim,
29,50000,propria,3,saude,B,4200,9.91,0,0.08,n,6,sim,
27,12000,propria,0,educacao,D,8125,14.42,1,0.68,s,5,sim,
29,35000,alugada,12,quitacao_debitos,A,1800,5.42,0,0.05,n,7,sim,
38,104800,hipoteca,6,reforma,A,14000,6.03,0,0.13,n,11,sim,
