IDADE;RENDA_ANUAL;MORADIA;TEMPO_DE_SERVICO;MOTIVO_EMPRESTIMO;SCORE_CREDITO;VALOR_EMPRESTIMO;TAXA_DE_JUROS;SITUACAO_INADIMPLENCIA;COMPROMETIMENTO_DA_RENDA;HISTORICO_DE_INADIMPLENCIA;HISTORICO_DE_CREDITO
21;60000;alugada;2;educacao;B;8000;11.26;0;0.13;n;3
40;70000;hipoteca;6;educacao;A;18000;7.9;0;0.26;n;14
29;115000;hipoteca;3;saude;C;22000;15.23;0;0.19;s;7
26;84996;alugada;0;saude;B;9000;11.26;0;0.11;n;2
31;66000;alugada;11;reforma;B;10500;12.69;0;0.16;n;10
39;55000;alugada;0;saude;B;3000;10.2;0;0.05;n;15
23;24000;propria;7;educacao;A;5000;7.49;0;0.21;n;2
27;56253;alugada;11;empreendimento;B;10000;11.36;0;0.18;n;8
32;19200;alugada;0;empreendimento;B;5000;9.99;1;0.26;n;6
24;18000;propria;0;reforma;A;6250;6.54;1;0.35;n;4
26;60000;hipoteca;10;uso_pessoal;A;1200;7.4;0;0.02;n;4
24;82000;hipoteca;8;uso_pessoal;A;6000;6.76;0;0.07;n;3
31;15000;alugada;2;empreendimento;B;4000;11.49;1;0.27;n;6
23;80000;alugada;6;empreendimento;A;6500;7.51;0;0.08;n;3
30;36000;alugada;6;quitacao_debitos;C;4500;13.49;0;0.13;s;6
22;40000;alugada;6;educacao;D;7200;17.58;0;0.18;s;2
24;103000;hipoteca;8;uso_pessoal;B;8000;10.74;0;0.08;n;3
35;50000;hipoteca;5;reforma;C;6000;13.49;0;0.12;n;6
22;32000;alugada;1;educacao;D;5400;16.29;1;0.17;s;2
25;12996;propria;1;saude;D;3600;14.59;1;0.28;n;3
32;48000;alugada;3;quitacao_debitos;C;9000;13.99;0;0.19;n;8
30;57000;hipoteca;6;uso_pessoal;A;4000;8.0;0;0.07;n;7
26;95000;hipoteca;0;reforma;D;20000;14.96;0;0.21;n;4
29;120000;hipoteca;3;educacao;B;20000;11.71;0;0.17;n;5
24;25000;hipoteca;3;empreendimento;A;9000;7.14;0;0.36;n;4
